"","concept_id","concept_code","concept_name","domain","vocabulary","is_standard","include_descendants"
"1","46269838","1085131000119105","Abscess of intestine co-occurrent and due to chronic ulcerative pancolitis","Condition","SNOMED","S",NA
"2","46269842","1085181000119106","Abscess of intestine co-occurrent and due to chronic ulcerative proctitis","Condition","SNOMED","S",NA
"3","46269848","1085231000119100","Abscess of intestine co-occurrent and due to chronic ulcerative rectosigmoiditis","Condition","SNOMED","S",NA
"4","46269951","1092841000119100","Abscess of intestine co-occurrent and due to ulcerative colitis","Condition","SNOMED","S",NA
"5","46270071","132111000119107","Acute deep venous thrombosis of lower limb due to and following coronary artery bypass grafting","Condition","SNOMED","S",NA
"6","45769441","708093000","Acute exacerbation of allergic asthma","Condition","SNOMED","S",NA
"7","46273452","99031000119107","Acute exacerbation of asthma co-occurrent with allergic rhinitis","Condition","SNOMED","S",NA
"8","46270376","293241000119100","Acute exacerbation of chronic obstructive bronchitis","Condition","SNOMED","S",NA
"9","45773005","708094006","Acute exacerbation of intrinsic asthma","Condition","SNOMED","S",NA
"10","45771322","703251009","Acute myocardial infarction of inferior wall involving right ventricle","Condition","SNOMED","S",NA
"11","45769438","708090002","Acute severe exacerbation of asthma","Condition","SNOMED","S",NA
"12","46269767","10674711000119105","Acute severe exacerbation of asthma co-occurrent with allergic rhinitis","Condition","SNOMED","S",NA
"13","45769442","708095007","Acute severe exacerbation of immunoglobin E-mediated allergic asthma","Condition","SNOMED","S",NA
"14","45769443","708096008","Acute severe exacerbation of intrinsic asthma","Condition","SNOMED","S",NA
"15","46274124","10675911000119109","Acute severe exacerbation of mild persistent allergic asthma","Condition","SNOMED","S",NA
"16","46269777","10675991000119100","Acute severe exacerbation of mild persistent allergic asthma co-occurrent with allergic rhinitis","Condition","SNOMED","S",NA
"17","45769352","707981009","Acute severe exacerbation of mild persistent asthma","Condition","SNOMED","S",NA
"18","46273462","10676431000119103","Acute severe exacerbation of moderate persistent allergic asthma","Condition","SNOMED","S",NA
"19","45769351","707980005","Acute severe exacerbation of moderate persistent asthma","Condition","SNOMED","S",NA
"20","46269785","10676511000119109","Acute severe exacerbation of moderate persistent asthma co-occurrent with allergic rhinitis","Condition","SNOMED","S",NA
"21","46274059","10675471000119109","Acute severe exacerbation of severe persistent allergic asthma","Condition","SNOMED","S",NA
"22","45769350","707979007","Acute severe exacerbation of severe persistent asthma","Condition","SNOMED","S",NA
"23","46269771","10675551000119104","Acute severe exacerbation of severe persistent asthma co-occurrent with allergic rhinitis","Condition","SNOMED","S",NA
"24","46270162","15713081000119108","Acute ST segment elevation myocardial infarction due to left coronary artery occlusion","Condition","SNOMED","S",NA
"25","46270163","15713121000119105","Acute ST segment elevation myocardial infarction due to right coronary artery occlusion","Condition","SNOMED","S",NA
