domain_id,parent_concept,concept_name,concept_id,vocabulary_id,concept_code
Condition,Asthma,Acute asthma,4125022,SNOMED,304527002
Condition,Asthma,Acute exacerbation of allergic asthma,45769441,SNOMED,708093000
Condition,Asthma,Acute exacerbation of asthma,45771045,SNOMED,708038006
Condition,Asthma,Acute exacerbation of asthma co-occurrent with allergic rhinitis,46273452,SNOMED,99031000119107
Condition,Asthma,Acute exacerbation of chronic asthmatic bronchitis,40481763,SNOMED,442025000
Condition,Asthma,Acute exacerbation of chronic obstructive airways disease with asthma,43530693,SNOMED,1751000119100
Condition,Asthma,Acute exacerbation of intrinsic asthma,45773005,SNOMED,708094006
Condition,Asthma,Acute exacerbation of mild persistent asthma,46270082,SNOMED,135181000119109
Condition,Asthma,Acute exacerbation of moderate persistent asthma,46273487,SNOMED,135171000119106
Condition,Asthma,Acute severe exacerbation of allergic asthma,36684328,SNOMED,782513000
Condition,Asthma,Acute severe exacerbation of asthma,45769438,SNOMED,708090002
Condition,Asthma,Acute severe exacerbation of asthma co-occurrent with allergic rhinitis,46269767,SNOMED,10674711000119105
Condition,Asthma,Acute severe exacerbation of immunoglobin E-mediated allergic asthma,45769442,SNOMED,708095007
Condition,Asthma,Acute severe exacerbation of intrinsic asthma,45769443,SNOMED,708096008
Condition,Asthma,Acute severe exacerbation of mild persistent allergic asthma,46274124,SNOMED,10675911000119109
Condition,Asthma,Acute severe exacerbation of mild persistent allergic asthma co-occurrent with allergic rhinitis,46269777,SNOMED,10675991000119100
Condition,Asthma,Acute severe exacerbation of mild persistent asthma,45769352,SNOMED,707981009
Condition,Asthma,Acute severe exacerbation of moderate persistent allergic asthma,46273462,SNOMED,10676431000119103
Condition,Asthma,Acute severe exacerbation of moderate persistent asthma,45769351,SNOMED,707980005
Condition,Asthma,Acute severe exacerbation of moderate persistent asthma co-occurrent with allergic rhinitis,46269785,SNOMED,10676511000119109
Condition,Asthma,Acute severe exacerbation of severe persistent allergic asthma,46274059,SNOMED,10675471000119109
Condition,Asthma,Acute severe exacerbation of severe persistent asthma,45769350,SNOMED,707979007
Condition,Asthma,Acute severe exacerbation of severe persistent asthma co-occurrent with allergic rhinitis,46269771,SNOMED,10675551000119104
Condition,Asthma,Acute severe refractory exacerbation of asthma,37116845,SNOMED,733858005
Condition,Asthma,Allergic asthma,4191479,SNOMED,389145006
Condition,Asthma,Allergic asthma due to Dermatophagoides farinae,45766728,SNOMED,703954005
Condition,Asthma,Allergic asthma due to Dermatophagoides pteronyssinus,45766727,SNOMED,703953004
Condition,Asthma,Allergic asthma without status asthmaticus,4271333,SNOMED,63088003
Condition,Asthma,Allergic bronchopulmonary aspergillosis,257583,SNOMED,37981002
Condition,Asthma,Allergic bronchopulmonary mycosis,45757063,SNOMED,103781000119103
Condition,Asthma,Aspirin-induced asthma,4250128,SNOMED,407674008
Condition,Asthma,Aspirin exacerbated respiratory disease,46269801,SNOMED,10692681000119108
Condition,Asthma,Asthma,317009,SNOMED,195967001
Condition,Asthma,Asthma-chronic obstructive pulmonary disease overlap syndrome,46274062,SNOMED,10692761000119107
Condition,Asthma,Asthma caused by wood dust,4211530,SNOMED,56968009
Condition,Asthma,Asthma in mother complicating childbirth,45772073,SNOMED,10742121000119104
Condition,Asthma,Asthma in pregnancy,42535716,SNOMED,72301000119103
Condition,Asthma,Asthma with irreversible airway obstruction,43530745,SNOMED,401000119107
Condition,Asthma,Asthma without status asthmaticus,4206340,SNOMED,55570000
Condition,Asthma,Asthmatic bronchitis,4233784,SNOMED,405944004
Condition,Asthma,Bakers' asthma,4143474,SNOMED,34015007
Condition,Asthma,Brittle asthma,4075237,SNOMED,225057002
Condition,Asthma,Cheese-makers' asthma,4225553,SNOMED,404806001
Condition,Asthma,Chemical-induced asthma,4245676,SNOMED,92807009
Condition,Asthma,Childhood asthma,4051466,SNOMED,233678006
Condition,Asthma,Chronic asthma with fixed airflow obstruction,44810117,SNOMED,866881000000101
Condition,Asthma,Chronic asthmatic bronchitis,256448,SNOMED,195949008
Condition,Asthma,Chronic obstructive asthma co-occurrent with acute exacerbation of asthma,46269802,SNOMED,10692721000119102
Condition,Asthma,Colophony asthma,4119300,SNOMED,233687002
Condition,Asthma,Cough variant asthma,313236,SNOMED,409663006
Condition,Asthma,Detergent asthma,4217558,SNOMED,41553006
Condition,Asthma,Exacerbation of allergic asthma,42538744,SNOMED,762521001
Condition,Asthma,Exacerbation of allergic asthma due to infection,36684335,SNOMED,782520007
Condition,Asthma,Exacerbation of asthma,257581,SNOMED,281239006
Condition,Asthma,Exacerbation of intermittent asthma,4138760,SNOMED,425969006
Condition,Asthma,Exacerbation of mild persistent asthma,45768911,SNOMED,707445000
Condition,Asthma,Exacerbation of moderate persistent asthma,45772937,SNOMED,707446004
Condition,Asthma,Exacerbation of severe persistent asthma,45768912,SNOMED,707447008
Condition,Asthma,Exercise-induced asthma,443801,SNOMED,31387002
Condition,Asthma,Hay fever with asthma,4123253,SNOMED,233683003
Condition,Asthma,IgE-mediated allergic asthma,312950,SNOMED,424643009
Condition,Asthma,Inhaled steroid-dependent asthma,761844,SNOMED,16055311000119107
Condition,Asthma,Intermittent allergic asthma,37310241,SNOMED,10674991000119104
Condition,Asthma,Intermittent asthma,4141978,SNOMED,427603009
Condition,Asthma,Intermittent asthma co-occurrent with allergic rhinitis,46270030,SNOMED,125021000119107
Condition,Asthma,Intermittent asthma uncontrolled,46270322,SNOMED,1741000119102
Condition,Asthma,Intrinsic asthma,4145497,SNOMED,266361008
Condition,Asthma,Intrinsic asthma without status asthmaticus,252658,SNOMED,12428000
Condition,Asthma,Isocyanate induced asthma,4225554,SNOMED,404808000
Condition,Asthma,Late onset asthma,4119298,SNOMED,233679003
Condition,Asthma,Life threatening acute exacerbation of allergic asthma,35609846,SNOMED,1086701000000102
Condition,Asthma,Life threatening acute exacerbation of asthma,42536207,SNOMED,734904007
Condition,Asthma,Life threatening acute exacerbation of intrinsic asthma,35609847,SNOMED,1086711000000100
Condition,Asthma,Meat-wrappers' asthma,4057952,SNOMED,19849005
Condition,Asthma,Mild asthma,4155468,SNOMED,370218001
Condition,Asthma,Mild intermittent asthma,4146581,SNOMED,427679007
Condition,Asthma,Mild persistent allergic asthma,46269776,SNOMED,10675871000119106
Condition,Asthma,Mild persistent asthma,4143828,SNOMED,426979002
Condition,Asthma,Mild persistent asthma co-occurrent with allergic rhinitis,46270029,SNOMED,125011000119100
Condition,Asthma,Millers' asthma,4022592,SNOMED,11641008
Condition,Asthma,Mixed asthma,4110051,SNOMED,195977004
Condition,Asthma,Moderate acute exacerbation of asthma,42536208,SNOMED,734905008
Condition,Asthma,Moderate asthma,4155469,SNOMED,370219009
Condition,Asthma,Moderate persistent allergic asthma,46269784,SNOMED,10676391000119108
Condition,Asthma,Moderate persistent asthma,4142738,SNOMED,427295004
