"","concept_id","concept_code","concept_name","domain","vocabulary","is_standard","include_descendants"
"1","321042","410429000","Cardiac arrest","Condition","SNOMED","S",TRUE
"2","44784217","698247007","Cardiac arrhythmia","Condition","SNOMED","S",TRUE
"3","319835","42343007","Congestive heart failure","Condition","SNOMED","S",TRUE
"4","435785","7180009","Meningitis","Condition","SNOMED","S",TRUE
"5","4329847","22298006","Myocardial infarction","Condition","SNOMED","S",TRUE
"6","314383","50920009","Myocarditis","Condition","SNOMED","S",TRUE
"7","4182210","52448006","Dementia","Condition","SNOMED","S",TRUE
"8","436093","67406007","Disseminated intravascular coagulation","Condition","SNOMED","S",TRUE
"9","441589","56819008","Endocarditis","Condition","SNOMED","S",TRUE
"10","192671","74474003","Gastrointestinal hemorrhage","Condition","SNOMED","S",TRUE
"11","317009","195967001","Asthma","Condition","SNOMED","S",TRUE
"12","4028244","128292002","Chronic disease of cardiovascular system","Condition","SNOMED","S",TRUE
"13","4063381","17097001","Chronic disease of respiratory system","Condition","SNOMED","S",TRUE
"14","255573","13645005","Chronic obstructive lung disease","Condition","SNOMED","S",TRUE
"15","201820","73211009","Diabetes mellitus","Condition","SNOMED","S",TRUE
"16","439727","86406008","Human immunodeficiency virus infection","Condition","SNOMED","S",TRUE
"17","316866","38341003","Hypertensive disorder","Condition","SNOMED","S",TRUE
"18","438112","55342001","Neoplastic disease","Condition","SNOMED","S",TRUE
"19","4299535","77386006","Pregnant","Condition","SNOMED","S",TRUE
"20","40401938","205614001","(Down's syndrome - trisomy 21) or (mongolism) or (trisomy 21) or (trisomy 22)","Condition","SNOMED","N",TRUE
"21","43531681","651000119108","Acute deep vein thrombosis of lower limb","Condition","SNOMED","S",TRUE
"22","197320","14669001","Acute renal failure syndrome","Condition","SNOMED","S",TRUE
"23","4195694","67782005","Acute respiratory distress syndrome","Condition","SNOMED","S",TRUE
"24","439776","35919005","Autism spectrum disorder","Condition","SNOMED","S",TRUE
"25","132736","5758002","Bacteremia","Condition","SNOMED","S",TRUE
"26","257315","53084003","Bacterial pneumonia","Condition","SNOMED","S",TRUE
"27","254061","60046008","Pleural effusion","Condition","SNOMED","S",TRUE
"28","253796","36118008","Pneumothorax","Condition","SNOMED","S",TRUE
"29","440417","59282003","Pulmonary embolism","Condition","SNOMED","S",TRUE
"30","377091","91175000","Seizure","Condition","SNOMED","S",TRUE
"31","43530623","1131000119105","Sequela of cerebrovascular accident","Condition","SNOMED","S",TRUE
"32","4281232","66071002","Type B viral hepatitis","Condition","SNOMED","S",TRUE
"33","197494","50711007","Viral hepatitis C","Condition","SNOMED","S",TRUE
"34","261326","75570004","Viral pneumonia","Condition","SNOMED","S",TRUE
"35","381591","62914000","Cerebrovascular disease","Condition","SNOMED","S",TRUE
"36","4063381","17097001","Chronic disease of respiratory system","Condition","SNOMED","S",TRUE
"37","4212540","328383001","Chronic liver disease","Condition","SNOMED","S",TRUE
"38","4064161","19943007","Cirrhosis of liver","Condition","SNOMED","S",TRUE
"39","442793","74627003","Complication due to diabetes mellitus","Condition","SNOMED","S",TRUE
"40","4182210","52448006","Dementia","Condition","SNOMED","S",TRUE
"41","201820","73211009","Diabetes mellitus","Condition","SNOMED","S",TRUE
"42","443767","25093002","Disorder of eye due to diabetes mellitus","Condition","SNOMED","S",TRUE
"43","24966","28670008","Esophageal varices","Condition","SNOMED","S",TRUE
"44","4247120","40845000","Gastrointestinal ulcer","Condition","SNOMED","S",TRUE
"45","316139","84114007","Heart failure","Condition","SNOMED","S",TRUE
