Concept ID,Concept Code,Concept Name,Domain,Vocabulary,Standard Concept
40376592,186705005,(AIDS) or (HIV infection),Condition,SNOMED,N
40376592,186705005,(AIDS) or (HIV infection),Condition,SNOMED,N
40395891,195983001,(Asthma: [exercise induced] or [allergic NEC] or [NOS]) or (allergic bronchitis NEC),Condition,SNOMED,N
40395023,195766001,(Catarrhal child) or (chronic catarrhal rhinitis),Condition,SNOMED,N
40323890,155329000,(Chronic cor pulmonale) or (pulmonary heart disease NOS),Condition,SNOMED,N
40392473,197005008,(Chronic intestinal vascular insufficiency) or (abdominal angina) or (chronic ischemic colitis &/or enteritis),Condition,SNOMED,N
40399343,194974000,(Chronic pericarditis) or (other specified pericardial disease NOS),Condition,SNOMED,N
40345744,266383007,(Chronic pharyngitis/nasopharyngitis) or (catarrh) or (congested nose),Condition,SNOMED,N
40395021,195764003,(Chronic rhinitis) or (catarrh unspecified),Condition,SNOMED,N
40395054,195794009,(Chronic tonsillitis) or (chronic adenoiditis),Condition,SNOMED,N
40395876,195970002,(Hay fever with asthma) or (extrinsic asthma without status asthmaticus),Condition,SNOMED,N
40323436,155295004,(Hypertensive disease) or (hypertension),Condition,SNOMED,N
40345175,266287006,(Hypertensive disease) or (hypertension),Condition,SNOMED,N
40395880,195973000,(Intrinsic asthma) or (late onset asthma),Condition,SNOMED,N
40395044,195785003,(Maxillary sinusitis) or (chronic antritis),Condition,SNOMED,N
40395887,195980003,(Severe asthma attack) or (status asthmaticus NOS),Condition,SNOMED,N
44796986,4.27921E+14,[V]Asymptomatic human immunodeficiency virus infection status,Condition,SNOMED,N
44800910,4.79581E+14,[V]Normal pregnancy,Condition,SNOMED,N
44800210,4.63921E+14,[V]Other specified high-risk pregnancy,Condition,SNOMED,N
44801120,4.80401E+14,[V]Pregnancy confirmed,Condition,SNOMED,N
44800205,4.63841E+14,"[V]Pregnant state, incidental",Condition,SNOMED,N
44800919,4.79681E+14,[V]Unspecified high-risk pregnancy,Condition,SNOMED,N
44796292,4.15971E+14,[V]Unspecified pregnant state,Condition,SNOMED,N
44795102,4.01191E+14,"[X] HIV disease resulting in haematological and immunological abnormalities, not elsewhere classified",Condition,SNOMED,N
44795102,4.01191E+14,"[X] HIV disease resulting in haematological and immunological abnormalities, not elsewhere classified",Condition,SNOMED,N
44795859,4.13321E+14,[X]HIV disease resulting in multiple diseases classified elsewhere,Condition,SNOMED,N
44795859,4.13321E+14,[X]HIV disease resulting in multiple diseases classified elsewhere,Condition,SNOMED,N
44795877,4.11831E+14,[X]HIV disease resulting in other bacterial infections,Condition,SNOMED,N
44795877,4.11831E+14,[X]HIV disease resulting in other bacterial infections,Condition,SNOMED,N
44796338,4.18661E+14,[X]Hiv disease resulting in other infectious and parasitic diseases,Condition,SNOMED,N
44796338,4.18661E+14,[X]Hiv disease resulting in other infectious and parasitic diseases,Condition,SNOMED,N
44813431,4.55571E+14,[X]HIV disease resulting in other malignant neoplasms,Condition,SNOMED,N
44813431,4.55571E+14,[X]HIV disease resulting in other malignant neoplasms,Condition,SNOMED,N
44794980,4.01941E+14,"[X]HIV disease resulting in other malignant neoplasms of lymphoid, haematopoietic and related tissue",Condition,SNOMED,N
44794980,4.01941E+14,"[X]HIV disease resulting in other malignant neoplasms of lymphoid, haematopoietic and related tissue",Condition,SNOMED,N
44795981,4.13621E+14,[X]HIV disease resulting in other mycoses,Condition,SNOMED,N
44795981,4.13621E+14,[X]HIV disease resulting in other mycoses,Condition,SNOMED,N
44798263,4.42351E+14,[X]HIV disease resulting in other non-Hodgkin's lymphoma,Condition,SNOMED,N
44798263,4.42351E+14,[X]HIV disease resulting in other non-Hodgkin's lymphoma,Condition,SNOMED,N
44797022,4.28061E+14,[X]HIV disease resulting in other specified conditions,Condition,SNOMED,N
44797022,4.28061E+14,[X]HIV disease resulting in other specified conditions,Condition,SNOMED,N
44798365,4.41561E+14,[X]HIV disease resulting in other viral infections,Condition,SNOMED,N
44798365,4.41561E+14,[X]HIV disease resulting in other viral infections,Condition,SNOMED,N
44801040,4.66811E+14,[X]Hiv disease resulting in unspecified infectious and parasitic disease,Condition,SNOMED,N
44801040,4.66811E+14,[X]Hiv disease resulting in unspecified infectious and parasitic disease,Condition,SNOMED,N
3529048,4.32411E+14,[X]HIV disease resulting in unspecified malignant neoplasm,Condition,SNOMED,N
44795858,4.13311E+14,[X]HIV disease resulting in unspecified malignant neoplasm,Condition,SNOMED,N
3529048,4.32411E+14,[X]HIV disease resulting in unspecified malignant neoplasm,Condition,SNOMED,N
44795858,4.13311E+14,[X]HIV disease resulting in unspecified malignant neoplasm,Condition,SNOMED,N
44801397,4.68931E+14,[X]Human immunodeficiency virus disease,Condition,SNOMED,N
44801397,4.68931E+14,[X]Human immunodeficiency virus disease,Condition,SNOMED,N
44796214,4.19571E+14,[X]Hypertension secondary to other renal disorders,Condition,SNOMED,N
44800519,4.71521E+14,[X]Hypertensive diseases,Condition,SNOMED,N
3529161,4.54441E+14,[X]Malnutrition-related diabetes mellitus with other specified complications,Condition,SNOMED,N
44800669,4.78671E+14,[X]Malnutrition-related diabetes mellitus with other specified complications,Condition,SNOMED,N
3529226,4.66171E+14,[X]Malnutrition-related diabetes mellitus with unspecified complications,Condition,SNOMED,N
44797029,4.25691E+14,[X]Malnutrition-related diabetes mellitus with unspecified complications,Condition,SNOMED,N
44797127,4.26011E+14,[X]Other chronic diseases of tonsils and adenoids,Condition,SNOMED,N
44800090,4.55311E+14,[X]Other chronic sinusitis,Condition,SNOMED,N
44795793,4.14541E+14,[X]Other forms of chronic ischaemic heart disease,Condition,SNOMED,N
44798305,4.42551E+14,[X]Other seasonal allergic rhinitis,Condition,SNOMED,N
44795761,4.14391E+14,[X]Other secondary hypertension,Condition,SNOMED,N
44796286,4.19861E+14,[X]Other specified chronic obstructive pulmonary disease,Condition,SNOMED,N
44813733,4.42541E+14,[X]Other specified diabetes mellitus,Condition,SNOMED,N
44796009,4.18901E+14,[X]Other specified rheumatic heart diseases,Condition,SNOMED,N
44799392,4.49851E+14,"[X]Pre-existing diabetes mellitus, unspecified",Condition,SNOMED,N
44794588,3.97201E+14,[X]Unspecified diabetes mellitus with renal complications,Condition,SNOMED,N
44798219,4.39901E+14,[X]Unspecified human immunodeficiency virus [HIV] disease,Condition,SNOMED,N
44798219,4.39901E+14,[X]Unspecified human immunodeficiency virus [HIV] disease,Condition,SNOMED,N
4345926,241154007,Abdominal angina,Condition,SNOMED,S
44821003,633.01,Abdominal pregnancy with intrauterine pregnancy,Condition,ICD9CM,N
37204495,783161005,ABri amyloidosis,Condition,SNOMED,S
3070805,1218009,Accelerated essential hypertension,Condition,Nebraska Lexicon,N
3377152,78975002,Accelerated essential hypertension,Condition,Nebraska Lexicon,N
40282397,1218009,Accelerated essential hypertension,Condition,SNOMED,N
3060150,49863005,Accelerated secondary hypertension,Condition,Nebraska Lexicon,N
3366242,89242004,Accelerated secondary hypertension,Condition,Nebraska Lexicon,N
40603936,49863005,Accelerated secondary hypertension,Condition,SNOMED,N
3385596,83074005,Accidental pregnancy,Condition,Nebraska Lexicon,N
3451574,713533000,Acquired haemolytic anaemia co-occurrent with human immunodeficiency virus infection,Condition,Nebraska Lexicon,N
37017285,713533000,Acquired hemolytic anemia co-occurrent with human immunodeficiency virus infection,Condition,SNOMED,S
3119899,186715004,Acquired human immunodeficiency virus infection syndrome NOS,Condition,Nebraska Lexicon,N
4089881,186715004,Acquired human immunodeficiency virus infection syndrome NOS,Condition,SNOMED,N
3119899,186715004,Acquired human immunodeficiency virus infection syndrome NOS,Condition,Nebraska Lexicon,N
4089881,186715004,Acquired human immunodeficiency virus infection syndrome NOS,Condition,SNOMED,N
3137932,234644008,Acquired immune deficiency syndrome,Condition,Nebraska Lexicon,N
3141512,266201009,Acquired immune deficiency syndrome,Condition,Nebraska Lexicon,N
40432812,234644008,Acquired immune deficiency syndrome,Condition,SNOMED,N
3104812,154368002,Acquired immune deficiency syndrome (& [ARC]),Condition,Nebraska Lexicon,N
40319628,154368002,Acquired immune deficiency syndrome (& [ARC]),Condition,SNOMED,N
40345081,266201009,Acquired immune deficiency syndrome (& [ARC]),Condition,SNOMED,N
3380238,1.07463E+16,Acquired immune deficiency syndrome complicating childbirth,Condition,Nebraska Lexicon,N
45757102,1.07463E+16,Acquired immune deficiency syndrome complicating childbirth,Condition,SNOMED,S
3138676,240611008,Acquired immune deficiency syndrome-related complex,Condition,Nebraska Lexicon,N
4080601,240611008,Acquired immune deficiency syndrome-related complex,Condition,SNOMED,N
